date,main_1,main_2,main_3,main_4,main_5,joker,noroc_plus
2000-09-14,4,27,30,32,39,7,
2000-09-28,1,19,28,38,43,11,
2000-10-12,12,26,28,32,35,11,
2000-10-26,7,19,23,29,35,14,
2000-11-09,1,7,10,18,26,7,
2000-11-23,13,22,24,35,37,8,
2000-12-07,3,13,32,36,44,7,
2000-12-21,11,15,33,35,36,2,
2001-01-02,3,9,20,28,36,6,
2001-01-18,10,25,31,39,45,18,
2001-02-01,9,20,21,25,34,5,
2001-02-15,2,16,18,21,28,11,
2001-03-01,11,18,24,36,40,17,
2001-03-15,5,11,28,35,42,15,
2001-03-29,24,30,35,38,39,18,
2001-04-12,5,22,29,32,39,18,
2001-04-26,1,14,17,18,19,10,
2001-05-10,20,21,33,39,41,1,
2001-05-24,10,15,22,32,41,18,
2001-06-07,24,30,37,43,45,11,
2001-06-21,1,17,25,26,39,15,
2001-07-05,1,2,21,24,41,5,
2001-07-19,8,9,22,24,37,6,
2001-08-02,13,17,36,41,42,7,
2001-08-16,2,4,21,31,37,11,
2001-08-30,3,5,24,25,33,5,
2001-09-13,9,10,27,28,37,11,
2001-09-27,1,18,22,23,32,15,
2001-10-11,12,20,23,28,34,19,
2001-10-25,20,29,34,35,42,13,
2001-11-08,2,8,37,38,39,9,
2001-11-22,7,14,19,23,35,17,
2001-12-06,5,18,22,30,42,7,
2001-12-20,1,22,30,32,44,17,
2002-01-10,2,10,18,29,43,5,
2002-01-24,1,8,10,11,37,12,
2002-02-07,2,4,8,38,39,11,
2002-02-21,4,8,11,32,36,2,
2002-03-07,12,24,27,38,40,20,
2002-03-21,22,29,32,33,42,19,
2002-04-04,11,12,26,28,40,11,
2002-04-18,3,4,6,7,18,15,
2002-05-02,24,25,32,36,37,18,
2002-05-16,10,12,23,25,36,11,
2002-05-30,8,10,18,25,40,5,
2002-06-13,4,18,24,35,44,7,
2002-06-27,8,16,18,21,35,14,
2002-07-11,10,20,24,30,36,5,
2002-07-25,17,22,36,37,39,11,
2002-08-08,4,8,24,37,44,1,
2002-08-22,21,26,30,40,42,20,
2002-09-05,7,9,19,20,29,9,
2002-09-19,22,28,29,38,45,6,
2002-10-03,7,28,35,41,43,6,
2002-10-17,6,14,22,26,37,8,
2002-10-31,14,23,27,37,45,8,
2002-11-14,16,26,29,30,31,8,
2002-11-28,3,19,21,27,30,2,
2002-12-12,9,17,25,29,43,15,
2002-12-27,10,11,25,26,34,13,
2003-01-09,10,22,28,31,38,16,
2003-01-23,2,8,20,33,36,4,
2003-02-06,13,14,26,37,43,18,
2003-02-20,10,25,30,32,42,2,
2003-03-06,4,9,16,17,42,17,
2003-03-20,6,18,31,34,37,10,
2003-04-03,7,8,20,37,40,4,
2003-04-17,7,13,17,27,33,18,
2003-05-01,2,18,22,35,37,19,
2003-05-15,6,19,25,26,43,16,
2003-05-29,6,22,26,42,43,3,
2003-06-12,2,3,17,29,37,2,
2003-06-26,2,18,27,40,41,14,
2003-07-10,1,2,6,11,35,6,
2003-07-24,23,24,29,32,40,20,
2003-08-07,11,27,29,37,40,18,
2003-08-21,2,13,21,23,34,6,
2003-09-04,3,30,33,41,44,17,
2003-09-18,1,11,34,35,39,7,
2003-10-02,20,25,30,33,43,19,
2003-10-16,13,18,20,32,41,13,
2003-10-30,5,19,24,26,45,2,
2003-11-13,15,16,17,23,34,9,
2003-11-27,14,18,19,33,34,16,
2003-12-11,9,16,20,21,37,15,
2003-12-24,1,18,19,38,42,18,
2004-01-08,15,18,29,30,31,3,
2004-01-22,10,16,17,39,41,8,
2004-02-05,1,6,32,37,41,13,
2004-02-19,8,24,35,39,44,18,
2004-03-04,4,9,21,32,44,11,
2004-03-18,8,21,23,36,40,13,
2004-04-01,11,20,22,36,44,19,
2004-04-15,3,9,15,24,30,4,
2004-04-29,9,11,20,26,31,20,
2004-05-13,11,16,17,29,36,20,
2004-05-27,23,24,28,37,42,7,
2004-06-10,1,4,15,32,38,7,
2004-06-24,16,25,30,36,42,16,
2004-07-08,3,5,29,30,31,3,
2004-07-22,1,12,17,33,44,16,
2004-08-05,21,26,30,34,41,3,
2004-08-19,7,17,35,36,42,7,
2004-09-02,2,6,11,21,44,6,
2004-09-16,17,19,34,35,41,4,
2004-09-30,6,16,18,24,42,1,
2004-10-14,8,9,10,18,28,2,
2004-10-28,5,10,35,43,45,14,
2004-11-11,5,10,14,18,43,8,
2004-11-25,2,9,28,40,45,18,
2004-12-09,4,5,16,26,39,15,
2004-12-23,1,4,18,24,30,6,
2005-01-13,11,13,15,34,44,7,
2005-01-27,8,23,26,30,43,15,
2005-02-10,2,13,28,32,33,16,
2005-02-24,3,16,27,35,36,9,
2005-03-10,5,20,22,32,43,6,
2005-03-24,5,13,20,21,36,18,
2005-04-07,2,19,32,33,35,2,
2005-04-21,19,24,26,28,35,11,
2005-05-05,5,6,8,19,44,19,
2005-05-19,10,17,22,23,29,19,
2005-06-02,2,12,18,27,40,18,
2005-06-16,1,4,18,36,37,9,
2005-06-30,10,13,24,37,42,15,
2005-07-14,3,9,12,14,27,3,
2005-07-28,12,20,22,37,38,1,
2005-08-11,3,15,19,24,45,7,
2005-08-25,1,12,27,31,43,2,
2005-09-08,11,17,19,34,35,5,
2005-09-22,1,9,26,27,30,5,
2005-10-06,20,23,24,25,32,2,
2005-10-20,26,27,30,36,39,17,
2005-11-03,4,5,18,24,31,6,
2005-11-17,1,8,11,22,44,11,
2005-12-01,1,3,4,26,36,18,
2005-12-15,14,15,17,23,38,12,
2005-12-29,19,22,33,35,41,13,
2006-01-12,14,18,29,39,40,19,
2006-01-26,3,15,27,36,40,20,
2006-02-09,10,17,31,32,43,16,
2006-02-23,2,5,27,29,44,20,
2006-03-09,3,10,21,26,35,17,
2006-03-23,13,19,31,32,44,6,
2006-04-06,3,19,21,22,32,1,
2006-04-20,3,15,28,31,37,3,
2006-05-04,1,2,9,23,38,2,
2006-05-18,7,21,29,39,45,20,
